impact,ips,turtle_id,foam_total,foam_micro,foam_meso,foam_macro,frag_total,frag_micro,frag_meso,frag_macro,ind_total,ind_micro,ind_meso,ind_macro,poth_total,poth_micro,poth_meso,poth_macro,she_total,she_micro,she_meso,she_macro,thr_total,thr_micro,thr_meso,thr_macro
1,2,2019_13,620.748468,155.7982,464.950268,0,6705.375234,107.851906,1352.176472,5245.346856,0,0,0,0,0,0,0,0,13372.65538,1982.466048,10157.23733,1232.952,75.591984,75.591984,0,0
1,2,2020_14,0,0,0,0,139.347454,139.347454,0,0,0,0,0,0,0,0,0,0,420.739707,420.739707,0,0,2195.56082,72.97521,2122.58561,0
1,3,4,9047.297502,157.637258,3876.024616,5013.635628,7221.84815,2327.033916,4894.814234,0,33.695088,33.695088,0,0,49118.55746,368.801335,3660.740273,45089.01585,16589.81975,4657.424238,9959.559264,1972.83625,4582.332867,2308.896686,2273.436181,0
1,3,34,954.874956,29.743014,925.131942,0,2480.849588,154.109637,2326.739951,0,30.736925,30.736925,0,0,260.291886,70.766118,189.525768,0,20037.26377,4190.518556,15846.74521,0,590.871941,401.966405,188.905536,0
1,3,57,22584.82812,1807.620693,6970.901492,13806.30593,8554.636967,1257.990463,7296.646504,0,45.897658,45.897658,0,0,6280.022768,234.607544,4865.601624,1179.8136,6956.157567,2190.780861,4765.376706,0,749.532969,245.009625,504.523344,0
1,3,60,5.991438,5.991438,0,0,724.022518,531.459342,192.563176,0,0,0,0,0,92.552625,92.552625,0,0,1964.461857,725.449376,1239.012481,0,34.076655,34.076655,0,0
1,3,65,258.7706,0,258.7706,0,13219.29652,839.896898,5563.290739,6816.108878,0,0,0,0,7773.905698,421.015268,697.737602,6655.152828,25693.70985,3192.281942,7882.357551,14619.07036,3693.957361,1052.922685,2641.034676,0
1,3,81,145.943008,145.943008,0,0,43553.2938,7678.957665,31892.36821,3981.96792,0,0,0,0,434.143401,55.391621,378.75178,0,6519.581661,3484.392032,1980.577609,1054.61202,697.964516,409.861004,288.103512,0
1,3,106,98.136522,98.136522,0,0,15625.83076,5135.756372,10490.07439,0,248.589719,248.589719,0,0,4967.210751,434.198798,3479.931997,1053.079956,5256.962849,2214.764303,3042.198546,0,1254.628775,964.524936,290.103839,0
1,3,111,0,0,0,0,12940.68792,1867.207804,6515.431183,4558.048932,0,0,0,0,7345.928082,179.950506,260.444761,6905.532815,6348.877066,2425.994416,2749.94271,1172.93994,300.098754,300.098754,0,0
1,3,114,3791.355138,320.63787,678.264708,2792.45256,8821.962866,1213.660312,5281.747434,2326.55512,14.7894,14.7894,0,0,1020.269294,59.705954,960.56334,0,11747.97628,3298.84966,8449.126622,0,1998.046213,197.50325,1800.542963,0
1,3,119,3115.822704,1093.160342,2022.662362,0,6687.240535,2903.632414,3783.608121,0,0,0,0,0,359.960136,10.472,349.488136,0,22438.19907,4307.19622,15347.32695,2783.675898,2790.764185,1582.769441,1207.994744,0
